mode,area,policy,repeat,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,semantic_quality,semantic_payload_ratio,sinr_median_db,mode_adaptive_semantic_count,mode_emergency_count,mode_fixed_count,mode_fixed_paper_like_count,mode_high_count,mode_low_count,mode_medium_count,mode_paper_like_count,mode_raw_count
nonsemantic,300,SA,6,74.0,16222.03088868882,11.208727146825145,71.18574166395108,222.98739024774065,0.0,0.0,1.0,1.0,-14.05596195448848,,,0.0,,,,,,74.0
nonsemantic,300,SA,7,59.0,20291.62549362343,14.933509054164707,88.55915628219574,209.38773691516124,0.0,0.0,1.0,1.0,-14.766929289762693,,,0.0,,,,,,59.0
nonsemantic,300,SA,8,47.0,20907.386100699237,15.276541456377513,91.86840257432452,227.3799585495701,0.0,0.0,1.0,1.0,-13.124724974928874,,,0.0,,,,,,47.0
nonsemantic,300,SA,9,76.0,17014.639856488426,11.959227979395294,74.97283560968074,219.6779098440489,0.0,0.0,1.0,1.0,-14.946144074813198,,,0.0,,,,,,76.0
nonsemantic,300,Greedy,0,49.0,27285.03061098509,22.35260799187398,119.43482170433927,72.98598825968797,0.0,0.0,1.0,1.0,-15.825747625879947,,,0.0,,,,,,49.0
nonsemantic,300,Greedy,1,59.0,12599.891392348936,9.659356813654949,55.350244360527334,58.05728333105366,0.0,0.0,1.0,1.0,-13.698697907571129,,,0.0,,,,,,59.0
nonsemantic,300,Greedy,2,72.0,14347.514891539351,11.252413642328806,62.84268817053818,56.51589800981275,0.0,0.0,1.0,1.0,-13.714854980038961,,,0.0,,,,,,72.0
nonsemantic,300,Greedy,3,77.0,15807.834551010661,12.648407400562627,69.4508929829616,45.93744671655177,0.0,0.0,1.0,1.0,-13.234828675533779,,,0.0,,,,,,77.0
nonsemantic,300,Greedy,4,78.0,10068.070515255704,7.648596381932377,44.57033926584474,41.99993278462852,0.0,0.0,1.0,1.0,-8.903909276344704,,,0.0,,,,,,78.0
nonsemantic,300,Greedy,5,64.0,19323.52413529358,15.49218089703351,84.89567969467085,64.93883079718952,0.0,0.0,1.0,1.0,-15.77028304969668,,,0.0,,,,,,64.0
nonsemantic,300,Greedy,6,79.0,12942.200025021297,10.071326570137227,57.39301428471134,51.474400893281214,0.0,0.0,1.0,1.0,-13.766738910085149,,,0.0,,,,,,79.0
nonsemantic,300,Greedy,7,115.0,9275.05256831402,6.960985624986827,41.23849498052641,46.56572038710942,0.0,0.0,1.0,1.0,-10.07089873725162,,,0.0,,,,,,115.0
nonsemantic,300,Greedy,8,66.0,18141.42703285563,14.420591530441977,79.81605514015195,68.03907072843029,0.0,0.0,1.0,1.0,-13.894079457357249,,,0.0,,,,,,66.0
nonsemantic,300,Greedy,9,100.0,10541.794864614894,7.919022534325272,46.94834210443001,54.12865350732762,0.0,0.0,1.0,1.0,-10.082122369094778,,,0.0,,,,,,100.0
nonsemantic,300,MCTS,0,82.0,13528.64644376687,10.439054389619729,59.54709403082948,61.73464742384508,0.0,0.0,1.0,1.0,-14.570011141043217,,,0.0,,,,,,82.0
nonsemantic,300,MCTS,1,70.0,17384.083676071805,13.84893829556454,76.3743494914386,56.9795283251945,0.0,0.0,1.0,1.0,-14.950264556034789,,,0.0,,,,,,70.0
nonsemantic,300,MCTS,2,67.0,14517.434306731679,11.265585662743202,64.13593470291121,61.20203916527856,0.0,0.0,1.0,1.0,-11.973985049426357,,,0.0,,,,,,67.0
