mode,area,policy,repeat,finished,flight_energy_per_req,nonflight_energy_per_req,avg_time,avg_travel,encodes,decodes,semantic_quality,semantic_payload_ratio,sinr_median_db,mode_fixed_count,mode_fixed_neural_encoder_decoder_count,mode_neural_encoder_decoder_count,mode_raw_count
semantic,300,Stochastic,7,65.0,16034.78131523354,10.915098944372382,70.35892874025059,250.7189733859299,14.0,8.0,0.8503971937072402,0.8070512820512817,-14.008263006236811,0.0,0.0,14.0,51.0
semantic,300,Stochastic,8,64.0,12208.82996643694,7.512865891790097,53.81168881931741,272.33415640593853,24.0,14.0,0.7395308283295696,0.6640624999999999,-13.29054069184329,0.0,0.0,24.0,40.0
semantic,300,Stochastic,9,67.0,15378.997958066191,10.273069688963867,67.67560489545713,263.16824226186344,19.0,10.0,0.8030282880900229,0.7459577114427861,-12.838361121069958,0.0,0.0,19.0,48.0
semantic,300,LinUCB,0,129.0,5609.352583397404,2.457814978030026,25.601657517642813,190.09999138064677,79.0,28.0,0.5746343243004862,0.45138888888888856,-10.59504444595695,0.0,0.0,79.0,50.0
semantic,300,LinUCB,1,141.0,5623.171204921101,2.3765880134632438,25.427389701982236,206.31419091844378,91.0,30.0,0.5517220875270141,0.42183806146572045,-9.454685856439008,0.0,0.0,91.0,50.0
semantic,300,LinUCB,2,128.0,6860.976616975659,3.5039703043170567,31.223816875255213,202.967015383397,96.0,32.0,0.47906165665913975,0.3281249999999998,-13.685992311099085,0.0,0.0,96.0,32.0
semantic,300,LinUCB,3,149.0,4999.340401135473,2.119026107968383,23.13048203165899,166.43388957662324,94.0,32.0,0.5618057783083593,0.43484340044742703,-11.071783469566219,0.0,0.0,94.0,55.0
semantic,300,LinUCB,4,128.0,6945.357571391436,3.5745577482969777,31.367501930045485,198.36872339582894,91.0,30.0,0.5061938620414762,0.3631184895833328,-12.366601836138218,0.0,0.0,91.0,37.0
semantic,300,LinUCB,5,131.0,5451.991903335211,2.3890918938410626,25.09356265492113,187.61059543188543,93.0,32.0,0.5068980566849873,0.3640267175572516,-12.391280579167335,0.0,0.0,93.0,38.0
semantic,300,LinUCB,6,160.0,4770.284731636917,1.6798116850106002,22.08263310163298,200.68389014739893,117.0,43.0,0.49208511524266163,0.34492187499999905,-11.658412763890915,0.0,0.0,117.0,43.0
semantic,300,LinUCB,7,127.0,5437.45376681554,2.32536939987572,24.70310027473104,187.83126526786197,85.0,26.0,0.5351206384884711,0.40042650918635114,-10.578726636172444,0.0,0.0,85.0,42.0
semantic,300,LinUCB,8,154.0,4950.468417388281,1.7501945763543127,23.06467877839295,214.4821126389721,101.0,35.0,0.5444608426196808,0.41247294372294313,-11.14193704361691,0.0,0.0,101.0,53.0
semantic,300,LinUCB,9,136.0,5808.36174313135,2.7064800453901587,26.438148601964148,176.14475536812458,90.0,22.0,0.5403485205815942,0.4071691176470582,-10.997891935397895,0.0,0.0,90.0,46.0
semantic,300,SA,0,116.0,7237.7526639603075,3.363955600282,31.867552891979543,250.09072700131807,58.0,26.0,0.6527077711060933,0.5520833333333328,-11.317011766301418,0.0,0.0,58.0,58.0
